Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in)
284.02262829582503,1,499.98125940602483,167.46713517181882,284.02262829582503,90,,,,,
285.02262829582503,1,499.98125940602483,166.46713517181882,285.02262829582503,90,,,,,
286.02262829582503,1,499.98125940602483,165.46713517181882,286.02262829582503,90,,,,,
287.02262829582503,1,499.98125940602483,164.46713517181882,287.02262829582503,90,,,,,
288.02262829582503,1,499.98125940602483,163.46713517181882,288.02262829582503,90,,,,,
289.02262829582503,1,499.98125940602483,162.46713517181882,289.02262829582503,90,,,,,
290.02262829582503,1,499.98125940602483,161.46713517181882,290.02262829582503,90,,,,,
291.02262829582503,1,499.98125940602483,160.46713517181882,291.02262829582503,90,,,,,
292.02262829582503,1,499.98125940602483,159.46713517181882,292.02262829582503,90,,,,,
293.02262829582503,1,499.98125940602483,158.46713517181882,293.02262829582503,90,,,,,
294.02262829582503,1,499.98125940602483,157.46713517181882,294.02262829582503,90,,,,,
295.02262829582503,1,499.98125940602483,156.46713517181882,295.02262829582503,90,,,,,
296.02262829582503,1,499.98125940602483,155.46713517181882,296.02262829582503,90,,,,,
297.02262829582503,1,499.98125940602483,154.46713517181882,297.02262829582503,90,,,,,
298.02262829582503,1,499.98125940602483,153.46713517181882,298.02262829582503,90,,,,,
299.02262829582503,1,499.98125940602483,152.46713517181882,299.02262829582503,90,,,,,
300.02262829582503,1,499.98125940602483,151.46713517181882,300.02262829582503,90,,,,,
301.02262829582503,1,499.98125940602483,150.46713517181882,301.02262829582503,90,,,,,
302.02262829582503,1,499.98125940602483,149.46713517181882,302.02262829582503,90,,,,,
303.02262829582503,1,499.98125940602483,148.46713517181882,303.02262829582503,90,,,,,
304.02262829582503,1,499.98125940602483,147.46713517181882,304.02262829582503,90,,,,,
305.02262829582503,1,499.98125940602483,146.46713517181882,305.02262829582503,90,,,,,
306.02262829582503,1,499.98125940602483,145.46713517181882,306.02262829582503,90,,,,,
307.02262829582503,1,499.98125940602483,144.46713517181882,307.02262829582503,90,,,,,
308.02262829582503,1,499.98125940602483,143.46713517181882,308.02262829582503,90,,,,,
309.02262829582503,1,499.98125940602483,142.46713517181882,309.02262829582503,90,,,,,
310.02262829582503,1,499.98125940602483,141.46713517181882,310.02262829582503,90,,,,,
311.02262829582503,1,499.98125940602483,140.46713517181882,311.02262829582503,90,,,,,
312.02262829582503,1,499.98125940602483,139.46713517181882,312.02262829582503,90,,,,,
313.02262829582503,1,499.98125940602483,138.46713517181882,313.02262829582503,90,,,,,
314.02262829582503,1,499.98125940602483,137.46713517181882,314.02262829582503,90,,,,,
315.02262829582503,1,499.98125940602483,136.46713517181882,315.02262829582503,90,,,,,
316.02262829582503,1,499.98125940602483,135.46713517181882,316.02262829582503,90,,,,,
317.02262829582503,1,499.98125940602483,134.46713517181882,317.02262829582503,90,,,,,
318.02262829582503,1,499.98125940602483,133.46713517181882,318.02262829582503,90,,,,,
319.02262829582503,1,499.98125940602483,132.46713517181882,319.02262829582503,90,,,,,
320.02262829582503,1,499.98125940602483,131.46713517181882,320.02262829582503,90,,,,,
321.02262829582503,1,499.98125940602483,130.46713517181882,321.02262829582503,90,,,,,
322.02262829582503,1,499.98125940602483,129.46713517181882,322.02262829582503,90,,,,,
323.02262829582503,1,499.98125940602483,128.46713517181882,323.02262829582503,90,,,,,
324.02262829582503,1,499.98125940602483,127.46713517181882,324.02262829582503,90,,,,,
325.02262829582503,1,499.98125940602483,126.46713517181882,325.02262829582503,90,,,,,
326.02262829582503,1,499.98125940602483,125.46713517181882,326.02262829582503,90,,,,,
327.02262829582503,1,499.98125940602483,124.46713517181882,327.02262829582503,90,,,,,
328.02262829582503,1,499.98125940602483,123.46713517181882,328.02262829582503,90,,,,,
329.022906356821,1,499.9857425892859,122.46686715754576,329.022906356821,90,,,,,
330.0222554422991,1,499.8639148579544,121.47497170008842,330.0222554422991,90,,,,,
331.0216045277772,1,499.61937336541894,120.50600418098657,331.0216045277772,90,,,,,
332.02095361325524,1,499.25593409988153,119.57508501429619,332.02095361325524,90,,,,,
333.02030269873336,1,498.7792684095254,118.69674088225955,333.02030269873336,90,,,,,
334.0196517842114,1,498.1968145030237,117.88467805128724,334.0196517842114,90,,,,,
335.01900086968953,1,497.51766137878053,117.15156849025516,335.01900086968953,90,,,,,
336.01834995516765,1,496.7524069941511,116.50885212866838,336.01834995516765,90,,,,,
337.0176990406457,1,495.91299288786166,115.9665583403874,337.0176990406457,90,,,,,
338.01704812612377,1,495.01251783629147,115.53314943860349,338.01704812612377,90,,,,,
339.0163972116019,1,494.0650334514486,115.21538862427164,339.0163972116019,90,,,,,
340.01574629707994,1,493.0853249102642,115.01823444862163,340.01574629707994,90,,,,,
341.015095382558,1,492.0886802368515,114.94476343662456,341.015095382558,90,,,,,
342.0144444680361,1,491.0906517380025,114.99612207884964,342.0144444680361,90,,,,,
343.01379355351423,1,490.10681331464264,115.17150894086228,343.01379355351423,90,,,,,
344.01379355351423,1,489.2123861236427,115.61872253636224,344.01379355351423,90,,,,,
345.01379355351423,1,488.3179589326428,116.0659361318622,345.01379355351423,90,,,,,
346.01379355351423,1,487.4235317416429,116.51314972736216,346.01379355351423,90,,,,,
347.01379355351423,1,486.52910455064296,116.96036332286212,347.01379355351423,90,,,,,
348.01379355351423,1,485.63467735964304,117.40757691836208,348.01379355351423,90,,,,,
349.01379355351423,1,484.7402501686431,117.85479051386204,349.01379355351423,90,,,,,
350.01379355351423,1,483.8458229776432,118.302004109362,350.01379355351423,90,,,,,
351.01379355351423,1,482.9513957866433,118.74921770486196,351.01379355351423,90,,,,,
352.01379355351423,1,482.05696859564335,119.19643130036192,352.01379355351423,90,,,,,
353.01379355351423,1,481.16254140464343,119.64364489586188,353.01379355351423,90,,,,,
